GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,hh_total_x,pop_total_x,hh_size_x,elec_coverage_x,hh_size_norm,ASI_updated,city_corp,pop_total_y,hh_total_y,hh_size_y,elec_coverage_y,pop_total,hh_total,hh_size,elec_coverage,pop_share,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.4.2_1,Dhaka,Biman Bandar,Ward No-01,12.651576531116785,0.3899066153846154,0.6666666666666666,0.0050268009142442,0.7284537161591119,0.6666666666666666,0.4236361876880535,Moderate stress,33980.0,119514.0,3.44,99.87,0.1709401709401707,0.3513941768811309,DNCC,119514.0,33980.0,3.44,99.87,119514.0,33980.0,3.44,99.87,0.009096336500973917,3873,6972,9683,0.058336261860535164,0.06521739130434782,0.8885869565217391,0.07206876285630326,Low concern
BGD.3.1.4.3_1,Dhaka,Biman Bandar,Ward No-98 (rest. Area),5.266141739996264,0.0692077228364313,0.928358208955224,0.0011836778110868,0.1292992242190549,0.928358208955224,0.27781775183991,Low stress,,,,,,0.27781775183991,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.005434782608695652,0.5027173913043478,0.003397737290625918,Low concern
BGD.3.1.5.1_1,Dhaka,Cantonment,Ward No-15 (part),157.95976595412804,0.1968950301715369,0.978846153846154,0.0806401230332012,0.3678545342972291,0.978846153846154,0.4057166746788492,Moderate stress,,,,,,0.4057166746788492,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.14130434782608695,0.5027173913043478,0.08834116955627386,Low concern
BGD.3.1.5.2_1,Dhaka,Cantonment,Ward No-98 (Rest. Area),203.4217511856937,0.1623314492075558,0.9642147117296224,0.1042969571533658,0.3032801772498574,0.9642147117296224,0.388920522831202,Moderate stress,,,,,,0.388920522831202,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.10326086956521739,0.5027173913043478,0.06455700852189244,Low concern
BGD.3.1.6.1_1,Dhaka,Chak Bazar,Ward No-63 (Part),1314.6183714124893,0.3601379861111111,0.6670908111974161,0.6825249862571352,0.6728376589710174,0.6670908111974161,0.6752758779420642,High stress,,,,,,0.6752758779420642,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.9456521739130435,0.5027173913043478,0.5912062885689098,Moderate concern
BGD.3.1.6.2_1,Dhaka,Chak Bazar,Ward No-64,1511.6390456854128,0.4460062745098039,0.6670908111974161,0.7850476848541454,0.8332634412382608,0.6670908111974161,0.7724339811744034,High stress,14610.0,57231.0,3.92,99.9,0.581196581196581,0.7327400284873156,DSCC,57231.0,14610.0,3.92,99.9,57231.0,14610.0,3.92,99.9,0.004355911728226302,1854,3338,4637,0.05832503363561706,0.9891304347826086,0.25,0.30752277402292094,Low concern
BGD.3.1.6.3_1,Dhaka,Chak Bazar,Ward No-65,687.4464124435757,0.4083803534730784,0.9866666666666668,0.3561665370479139,0.7629677834534468,0.9866666666666668,0.6561720056945386,Moderate stress,29687.0,119917.0,3.99,99.95,0.6410256410256411,0.6409386953685932,DSCC,119917.0,29687.0,3.99,99.95,119917.0,29687.0,3.99,99.95,0.009127009255713048,3886,6995,9716,0.05833201297564149,0.8913043478260869,0.9021739130434783,1.0,High concern
BGD.3.1.6.4_1,Dhaka,Chak Bazar,Ward No-66 (Part),661.5951619395747,0.3640249134948097,1.0,0.3427144464307327,0.680099517542724,1.0,0.6251206097122465,Moderate stress,,,,,,0.6251206097122465,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.8641304347826086,0.5027173913043478,0.540240229209521,Moderate concern
BGD.3.1.6.5_1,Dhaka,Chak Bazar,Ward No-67 (Part),1167.3173192703707,0.4081622432859401,0.6670908111974161,0.605874647770986,0.7625602931209314,0.6670908111974161,0.6760186645000743,High stress,,,,,,0.6760186645000743,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.9510869565217391,0.5027173913043478,0.5946040258595356,Moderate concern
BGD.3.1.7.1_1,Dhaka,Dakshinkhan,Dakshinkhan (Part),235.6195920400544,0.3007861800378327,0.8656609195402302,0.1210515923994791,0.5619520212595713,0.8656609195402302,0.4615190742856991,Moderate stress,,,,,,0.4615190742856991,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.2608695652173913,0.5027173913043478,0.16309138995004405,Low concern
BGD.3.1.8.1_1,Dhaka,Darus Salam,Ward No-09,267.47564556136905,0.222318845184617,0.9456106870229009,0.1376283734185704,0.4153532732118055,0.9456106870229009,0.4368276667472853,Moderate stress,8505.0,30294.0,3.77,99.84,0.4529914529914528,0.4317286770023217,DNCC,76440.0,19498.0,3.84,99.97,76440.0,19498.0,3.84,99.97,0.005817928963422246,2477,4459,6193,0.058333333333333334,0.1956521739130435,0.7853260869565217,0.19108139876579489,Low concern
BGD.3.1.8.1_1,Dhaka,Darus Salam,Ward No-09,267.47564556136905,0.222318845184617,0.9456106870229009,0.1376283734185704,0.4153532732118055,0.9456106870229009,0.4368276667472853,Moderate stress,19498.0,76440.0,3.84,99.97,0.5128205128205126,0.4436944889681337,DNCC,76440.0,19498.0,3.84,99.97,76440.0,19498.0,3.84,99.97,0.005817928963422246,2477,4459,6193,0.058333333333333334,0.21739130434782608,0.7853260869565217,0.21231266529532766,Low concern
BGD.3.1.8.2_1,Dhaka,Darus Salam,Ward No-10,322.6992011995866,0.2332555245603395,0.9675516224188792,0.1663647888787538,0.4357860240791562,0.9675516224188792,0.460958929583926,Moderate stress,4865.0,20428.0,4.13,99.85,0.7606837606837604,0.5128212587478809,DNCC,92956.0,27309.0,3.46,99.94,92956.0,27309.0,3.46,99.94,0.007074979130349009,3012,5422,7531,0.05832867162958819,0.43478260869565216,0.8179347826086957,0.4422568322068763,Moderate concern
BGD.3.1.8.2_1,Dhaka,Darus Salam,Ward No-10,322.6992011995866,0.2332555245603395,0.9675516224188792,0.1663647888787538,0.4357860240791562,0.9675516224188792,0.460958929583926,Moderate stress,27309.0,92956.0,3.46,99.94,0.1880341880341878,0.3982913442179663,DNCC,92956.0,27309.0,3.46,99.94,92956.0,27309.0,3.46,99.94,0.007074979130349009,3012,5422,7531,0.05832867162958819,0.13043478260869565,0.8179347826086957,0.1326770496620629,Low concern
