GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.15.1_1,Dhaka,Hazaribagh,Ward No-46 (Part),263.15639886437583,0.2566673681046145,0.9922752808988764,0.1353807878343867,0.4795258421767276,0.9922752808988764,0.4700551801203285,Moderate stress,,,,,,,0.4700551801203285,DNCC
BGD.3.1.15.2_1,Dhaka,Hazaribagh,Ward No-48 (Part),406.05508338818913,0.3060210310828876,0.9511568123393316,0.2097402875031865,0.5717321751396178,0.9511568123393316,0.5217915793849738,Moderate stress,,,,,,,0.5217915793849738,DSCC
BGD.3.1.15.3_1,Dhaka,Hazaribagh,Ward No-58,545.7918652895678,0.3814289315726291,0.7903225806451615,0.2824544431452782,0.712615051120891,0.7903225806451615,0.5599776903117135,Moderate stress,DSCC,19266.0,69593.0,3.67,99.97,0.4299999999999997,0.5085816075143759,DSCC
BGD.3.1.16.1_1,Dhaka,Jatrabari,Dhania(part),359.84953649217965,0.413410391742904,0.6670908111974161,0.1856965297837936,0.7723652902550757,0.6670908111974161,0.5113791663021479,Moderate stress,,,,,,,0.5113791663021479,DSCC
BGD.3.1.16.2_1,Dhaka,Jatrabari,Matuail (part),640.4534848857219,0.2483847526506369,0.8776190476190476,0.3317130538488306,0.4640516189424918,0.8776190476190476,0.5145080500741663,Moderate stress,,,,,,,0.5145080500741663,DSCC
BGD.3.1.16.3_1,Dhaka,Jatrabari,Ward No-76 (Part),636.9471709236266,0.4504119047619048,0.6670908111974161,0.3298884901534267,0.841494380654357,0.6670908111974161,0.5932511320897497,Moderate stress,,,,,,,0.5932511320897497,DSCC
BGD.3.1.16.4_1,Dhaka,Jatrabari,Ward No-84,429.5150602520012,0.4479118212845174,0.5,0.2219480425825832,0.8368235312048949,0.5,0.5066674529547465,Moderate stress,,,,,,,0.5066674529547465,DSCC
BGD.3.1.16.5_1,Dhaka,Jatrabari,Ward No-85,378.8258042689214,0.3216234551367897,0.4335664335664336,0.1955711187778199,0.600881831325738,0.4335664335664336,0.3969286968667446,Moderate stress,,,,,,,0.3969286968667446,DSCC
BGD.3.1.16.6_1,Dhaka,Jatrabari,Ward No-86,402.56619393472647,0.3436225824640541,0.9836065573770492,0.2079247909153505,0.6419823036477973,0.9836065573770492,0.5537653619871316,Moderate stress,,,,,,,0.5537653619871316,DSCC
BGD.3.1.17.1_1,Dhaka,Kadamtali,Dhania(part),436.078312160129,0.4506446811573341,0.0,0.2253633303419841,0.8419292715323108,0.0,0.3848205771731024,Moderate stress,,,,,,,0.3848205771731024,DSCC
BGD.3.1.17.2_1,Dhaka,Kadamtali,Matuail (part),504.3391926232708,0.3050977649265395,0.627450980392157,0.2608839156791089,0.5700072578490193,0.627450980392157,0.4607188516168395,Moderate stress,,,,,,,0.4607188516168395,DSCC
BGD.3.1.17.3_1,Dhaka,Kadamtali,Shyampur,393.9706030936688,0.2680559845559845,0.9900095147478593,0.2034519447416528,0.5008029368670237,0.9900095147478593,0.5041641844870842,Moderate stress,,,,,,,0.5041641844870842,DSCC
