GID_4,NAME_3,NAME_4,pop,builtup,flood,city_corp,corp_spatial,hh_total,pop_total,hh_size,elec_coverage,area_km2,ward_no,n_fragments,pop_norm,builtup_norm,flood_norm,hh_size_norm,ASI,stress_tier
BGD.3.15.1.6_1,Bhedarganj,Chhaygaon,9.389716082944693,0.0145993217841138,0.2208657047724753,,,,,,,,,,0.0033294423155714606,0.027275582889379202,0.2208657047724753,,0.06609465713063013,Low stress
BGD.3.15.1.7_1,Bhedarganj,Dhakhin Tarabunia,7.992302283581257,0.0235450923248559,0.8364805976343641,,,,,,,,,,0.0026022768325776303,0.043988763782404426,0.8364805976343641,,0.22555712746546364,Low stress
BGD.3.15.1.8_1,Bhedarganj,Digar Mahishkhali,8.682979445197011,0.0215350036254652,0.6968698517298194,,,,,,,,,,0.0029616811779819134,0.040233360500938675,0.6968698517298194,,0.18948381157897615,Low stress
BGD.3.15.1.9_1,Bhedarganj,Kachikata,8.284830505616986,0.0086163305154762,0.9834044504002536,,,,,,,,,,0.0027544983334407505,0.01609769554041132,0.9834044504002536,,0.25258710537258366,Low stress
BGD.3.15.1.10_1,Bhedarganj,Mahisar,11.681202527608908,0.0266692969543673,0.5831702544031316,,,,,,,,,,0.004521852071412654,0.049825644672881565,0.5831702544031316,,0.16504028006485652,Low stress
BGD.3.15.1.11_1,Bhedarganj,Narayanpur,10.36541893624129,0.0214856389755304,0.9130434782608698,,,,,,,,,,0.0038371641062816117,0.04014113364129325,0.9130434782608698,,0.24384513198218274,Low stress
BGD.3.15.1.12_1,Bhedarganj,Rambhadrapur,11.234447769716528,0.021881643130193,0.8492753623188406,,,,,,,,,,0.004289376451484907,0.040880979252257976,0.8492753623188406,,0.2283429338985944,Low stress
BGD.3.15.1.13_1,Bhedarganj,Sakhipur,8.155846956246354,0.0309627059289259,0.7429533024821207,,,,,,,,,,0.0026873797855782064,0.05784692361277077,0.7429533024821207,,0.20705970079923122,Low stress
BGD.3.15.1.14_1,Bhedarganj,Tarabunia,8.053185229087669,0.0244634550931782,0.93333333333333,,,,,,,,,,0.002633958197464269,0.04570452018398957,0.93333333333333,,0.25038349867671456,Low stress
BGD.3.15.2.1_1,Damudya,Damudya Paurashava,14.250239226930184,0.0430702828001854,0.8103448275862073,,,,,,,,,,0.005858689315428574,0.08046723580432201,0.8103448275862073,,0.23309321515423595,Low stress
BGD.3.15.2.2_1,Damudya,Darul Aman,16.44944164664967,0.0334289768099789,0.54,,,,,,,,,,0.007003077678034553,0.06245460175279382,0.54,,0.15966034168469168,Low stress
BGD.3.15.2.3_1,Damudya,Dhankati,8.130178441632493,0.0127801921676026,0.1016949152542373,,,,,,,,,,0.0026740227843553583,0.023876944146059818,0.1016949152542373,,0.0348502683784224,Low stress
BGD.3.15.2.4_1,Damudya,Islam Pur,8.829669399414268,0.0174473698415035,0.4510638297872344,,,,,,,,,,0.0030380135223865017,0.0325965266983442,0.4510638297872344,,0.12538994720018368,Low stress
BGD.3.15.2.5_1,Damudya,Kaneshwar,10.7980561398353,0.02089199069081,0.4253578732106343,,,,,,,,,,0.004062293442528217,0.03903203396964628,0.4253578732106343,,0.12162559756904606,Low stress
BGD.3.15.2.6_1,Damudya,Purba Damudya,8.858246429666222,0.0185097999707681,0.5691927512355854,,,,,,,,,,0.0030528840138723864,0.03458144089391069,0.5691927512355854,,0.15562284572731405,Low stress
BGD.3.15.2.7_1,Damudya,Sidulkura,9.409931463178868,0.0116446973145197,0.6023222060957916,,,,,,,,,,0.003339961695542221,0.02175552477852266,0.6023222060957916,,0.1595309698746477,Low stress
BGD.3.15.2.8_1,Damudya,Sidya,10.83186258318438,0.0280345258538446,0.4451612903225807,,,,,,,,,,0.00407988513850076,0.05237627096643918,0.4451612903225807,,0.1312539714742992,Low stress
BGD.3.15.3.1_1,Gosairhat,Gariber Char,5.6262790105466,0.014996325593872,0.9780264803553712,,,,,,,,,,0.001371080706637966,0.02801729613336305,0.9780264803553712,,0.2548611060181751,Low stress
BGD.3.15.3.2_1,Gosairhat,Gosairhat,8.684518016368614,0.0211641901811569,0.8303238750358272,,,,,,,,,,0.002962481796846296,0.03954057812472358,0.8303238750358272,,0.22260516382134857,Low stress
BGD.3.15.3.3_1,Gosairhat,Idilpur,8.241633490235435,0.0130655940263313,0.8629710370601062,,,,,,,,,,0.0027320201107638837,0.024410153987561373,0.8629710370601062,,0.2253791212049786,Low stress
BGD.3.15.3.4_1,Gosairhat,Kodalpur,5.35895882630874,0.0119864957114581,0.9792086041295216,,,,,,,,,,0.0012319765908965356,0.022394098997586372,0.9792086041295216,,0.2531328763178942,Low stress
BGD.3.15.3.5_1,Gosairhat,Kuchaipatti,5.989590982936523,0.0123827057299674,0.957946310094922,,,,,,,,,,0.00156013560648274,0.023134329219322586,0.957946310094922,,0.2482076469930865,Low stress
BGD.3.15.3.6_1,Gosairhat,Nager Para,6.232424115362698,0.0107186345773267,0.0,,,,,,,,,,0.001686497513104831,0.02002538269914481,0.0,,0.007683482949942615,Low stress
BGD.3.15.3.7_1,Gosairhat,Nalmuri,7.13330816302001,0.0161254490160213,0.956446424152438,,,,,,,,,,0.002155286202564303,0.030126811900505392,0.956446424152438,,0.2505181046843121,Low stress
BGD.3.15.3.8_1,Gosairhat,Samantasar,7.676106738867382,0.0130973611372369,0.5797101449275366,,,,,,,,,,0.002437739681093152,0.024469503762809472,0.5797101449275366,,0.15446695842130473,Low stress
BGD.3.15.4.1_1,Naria,Bhojeshwar,11.6206118906625,0.0254073231024799,0.6241197183098599,,,,,,,,,,0.004490322813722406,0.04746792745078163,0.6241197183098599,,0.17443983331072752,Low stress
BGD.3.15.4.2_1,Naria,Bhumkhara,10.11931062719562,0.0232075813161875,0.2765432098765433,,,,,,,,,,0.003709097911788962,0.043358199593934374,0.2765432098765433,,0.08579481149172843,Low stress
BGD.3.15.4.3_1,Naria,Bijhari,10.006944333609464,0.014726850080237,0.3172496984318462,,,,,,,,,,0.003650626405220883,0.027513841122404428,0.3172496984318462,,0.09040251956289146,Low stress
BGD.3.15.4.4_1,Naria,Chamta,10.248731566142697,0.0217275748757843,0.2187147688838785,,,,,,,,,,0.0037764440619571056,0.04059313701507137,0.2187147688838785,,0.07039686780102744,Low stress
BGD.3.15.4.5_1,Naria,Char Atra,9.198979817498994,0.0,1.0,,,,,,,,,,0.003230189804503915,0.0,1.0,,0.2512920759218016,Low stress
BGD.3.15.4.6_1,Naria,Dinga Manik,10.522654698281723,0.0234868224647821,0.6440944881889766,,,,,,,,,,0.003918984121870492,0.04387989951994774,0.6440944881889766,,0.17794918052797407,Low stress
BGD.3.15.4.7_1,Naria,Fateh Jangapur,10.465762831060257,0.0267914276094276,0.5650000000000005,,,,,,,,,,0.00388937957515329,0.050053818615116076,0.5650000000000005,,0.16032458834535207,Low stress
BGD.3.15.4.8_1,Naria,Gharisar,10.354017377489354,0.0150718319035725,0.9929520694658795,,,,,,,,,,0.00383123113211139,0.028158362865048366,0.9929520694658795,,0.25962593682208135,Low stress
BGD.3.15.4.9_1,Naria,Japsa,11.13129196152406,0.0162654650814267,0.4769647696476969,,,,,,,,,,0.004235697760804977,0.03038840075060974,0.4769647696476969,,0.13157141177895962,Low stress
BGD.3.15.4.10_1,Naria,Kedarpur,13.974381085466652,0.0137509593377681,0.9929609445958208,,,,,,,,,,0.00571514234404008,0.025690606507070956,0.9929609445958208,,0.25951800536404607,Low stress
BGD.3.15.4.11_1,Naria,Muktarer Char,11.38661661092856,0.024068334421402,0.8299368800721375,,,,,,,,,,0.004368559817905765,0.04496632516413145,0.8299368800721375,,0.2249698577526427,Low stress
BGD.3.15.4.12_1,Naria,Naria Paurashava,16.33856467491772,0.0363212822164948,0.6721611721611725,,,,,,,,,,0.006945381162700952,0.06785823056674783,0.6721611721611725,,0.19456882620373525,Low stress
BGD.3.15.4.13_1,Naria,Nasasan,9.582709277910864,0.0293520069486484,0.191891891891892,,,,,,,,,,0.0034298692541747766,0.054837691115806234,0.191891891891892,,0.0685381125651751,Low stress
BGD.3.15.4.14_1,Naria,Noapara,9.279763980133092,0.0047989896812657,0.9566232418722612,,,,,,,,,,0.0032722270698199115,0.008965843946194218,0.9566232418722612,,0.24360274667716125,Low stress
BGD.3.15.4.15_1,Naria,Rajnagar,9.178524520812866,0.0278905984152447,0.0,,,,,,,,,,0.003219545580365491,0.052107374586207365,0.0,,0.019525399337318776,Low stress
BGD.3.15.5.1_1,Shariatpur Sadar,Angaria,8.281170430220811,0.0169533467195214,0.7857974388824219,,,,,,,,,,0.002752593757649052,0.03167355446633578,0.7857974388824219,,0.20863614128688263,Low stress
BGD.3.15.5.2_1,Shariatpur Sadar,Binodpur,7.461861292759551,0.0117295618688003,0.4272151898734183,,,,,,,,,,0.002326253811002848,0.02191407530702526,0.4272151898734183,,0.11540422535021455,Low stress
BGD.3.15.5.3_1,Shariatpur Sadar,Chandrapur,7.064253685047423,0.0161247289766635,0.5069984447900473,,,,,,,,,,0.0021193526567164682,0.03012546666724883,0.5069984447900473,,0.1381412655937355,Low stress
BGD.3.15.5.4_1,Shariatpur Sadar,Chikandi,7.746712155674105,0.0145436027713625,0.1599264705882354,,,,,,,,,,0.0024744802815063077,0.02717148431731634,0.1599264705882354,,0.05048142927072209,Low stress
BGD.3.15.5.5_1,Shariatpur Sadar,Chitalia,8.418502261158697,0.0184275115863226,0.0723684210526316,,,,,,,,,,0.0028240564605505583,0.034427703365279824,0.0723684210526316,,0.03127142402522606,Low stress
BGD.3.15.5.6_1,Shariatpur Sadar,Domsar,10.782560358640016,0.016871219223196,0.7068702290076335,,,,,,,,,,0.004054229977560025,0.031520117521343025,0.7068702290076335,,0.18937129037540246,Low stress
BGD.3.15.5.7_1,Shariatpur Sadar,Mohammadpur,7.131343677808453,0.0079584543981545,0.0,,,,,,,,,,0.00215426395286393,0.014868600460907237,0.0,,0.006065715742463104,Low stress
BGD.3.15.5.8_1,Shariatpur Sadar,Palong,9.788306525575774,0.0159313086843028,0.202846975088968,,,,,,,,,,0.0035368549029271786,0.02976410390706137,0.202846975088968,,0.06254392210088436,Low stress
BGD.3.15.5.9_1,Shariatpur Sadar,Rudrakar,8.783139027473647,0.0189318848855136,0.1090909090909092,,,,,,,,,,0.0030138007370243583,0.03537001259941448,0.1090909090909092,,0.040857751977332116,Low stress
BGD.3.15.5.10_1,Shariatpur Sadar,Shariatpur Paurashava,18.284854915001286,0.0505358810414401,0.5198019801980202,,,,,,,,,,0.007958162833471089,0.09441504424770626,0.5198019801980202,,0.16617902566959067,Low stress
BGD.3.15.5.11_1,Shariatpur Sadar,Shaul Para,8.28377689715925,0.0149094680974702,0.0087719298245614,,,,,,,,,,0.002753950072286177,0.027855022236143445,0.0087719298245614,,0.013043820267705026,Low stress
BGD.3.15.5.12_1,Shariatpur Sadar,Tulasar,10.730128891517046,0.0145713085395739,0.8798283261802577,,,,,,,,,,0.004026946467742162,0.027223246377810567,0.8798283261802577,,0.23109599636439498,Low stress
BGD.3.15.6.1_1,Zanjira,Bara Gopalpur,5.94261601188197,0.0148522508932115,0.4950738916256163,,,,,,,,,,0.0015356914672227258,0.0277481246267521,0.4950738916256163,,0.1340945931126564,Low stress
BGD.3.15.6.2_1,Zanjira,Bara Krishnagar,7.429490630810445,0.0240566492384632,0.251046025104603,,,,,,,,,,0.0023094092456766905,0.044944494000976214,0.251046025104603,,0.0794158428747631,Low stress
BGD.3.15.6.3_1,Zanjira,Barakandi,8.431836012435967,0.024345351256353,0.8365929126043516,,,,,,,,,,0.0028309948804316793,0.045483869455242375,0.8365929126043516,,0.22619998041259542,Low stress
BGD.3.15.6.4_1,Zanjira,Bilaspur,6.239414258614096,0.0203348986961948,0.9544833864360434,,,,,,,,,,0.0016901349402548382,0.03799123158849246,0.9544833864360434,,0.2525938316410851,Low stress
BGD.3.15.6.5_1,Zanjira,Joynagar,6.272434611587157,0.0159425311170755,0.8119973190348531,,,,,,,,,,0.0017073175821675063,0.02978507052454119,0.8119973190348531,,0.21410703147516968,Low stress
BGD.3.15.6.6_1,Zanjira,Kunder Char,5.637326635904803,0.0041049413784587,0.999949783230947,,,,,,,,,,0.0013768295061941118,0.007669169190176132,0.999949783230947,,0.25322238682677606,Low stress
BGD.3.15.6.7_1,Zanjira,Mulna,8.042988460226383,0.0232491630814189,0.5705521472392643,,,,,,,,,,0.0026286521540021452,0.04343588586601106,0.5705521472392643,,0.1588920577245208,Low stress
BGD.3.15.6.8_1,Zanjira,Naodoba,18.13441626302909,0.0450619968270187,0.8274379759272911,,,,,,,,,,0.007879879797285147,0.08418831010038585,0.8274379759272911,,0.23947735443587187,Low stress
BGD.3.15.6.9_1,Zanjira,Paler Char,5.722301654334922,0.0063437955305376,0.9898111313934962,,,,,,,,,,0.0014210475469400201,0.011851969795934931,0.9898111313934962,,0.2521693912957273,Low stress
