GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.24.3_1,Kotwali,Ward No-72,DSCC,72.0,1.0,True,27574.0,0.583200042413198,1248,2247,3121,0.08148980924058896,0.7226890756302521,0.08403361344537816,0.0704070407040704,Low concern
BGD.3.1.17.1_1,Kadamtali,Dhania(part),,,1.0,False,,0.3848205771731025,3151,5672,7878,0.08150244995904761,0.11764705882352941,0.5042016806722689,0.0687145637640687,Low concern
BGD.3.1.3.6_1,Bangshal,Ward No-70,DSCC,70.0,1.0,True,22417.0,0.8160262084461476,1015,1827,2537,0.0815006468305304,1.0,0.058823529411764705,0.06812219683506811,Low concern
BGD.3.1.1.2_1+BGD.3.1.15.1_1+BGD.3.1.27.4_1,Hazaribagh,Ward No-46,DNCC,46.0,3.0,True,44028.0,0.47628974636505583,1993,3588,4984,0.08149359498500953,0.33613445378151263,0.15966386554621848,0.06194465600406194,Low concern
BGD.3.1.35.1_1,Sabujbagh,Dakshingaon (Part),,,1.0,False,,0.3678817830670045,3151,5672,7878,0.08150244995904761,0.10084033613445378,0.5042016806722689,0.058559702124058546,Low concern
BGD.3.1.17.4_1,Kadamtali,Ward No-88,,,1.0,False,,0.36655055152193095,3151,5672,7878,0.08150244995904761,0.09243697478991597,0.5042016806722689,0.053482271304053475,Low concern
BGD.3.1.35.4_1,Sabujbagh,Ward No-28,DSCC,28.0,1.0,True,20291.0,0.6010213409209991,918,1653,2297,0.08146468877827609,0.773109243697479,0.05042016806722689,0.04434289582804434,Low concern
BGD.3.1.45.1_1,Uttar Khan,Uttar Khan,,,1.0,False,,0.35090500831694954,3151,5672,7878,0.08150244995904761,0.07563025210084033,0.5042016806722689,0.04332740966404331,Low concern
BGD.3.1.35.3_1,Sabujbagh,Ward No-27,DSCC,27.0,1.0,True,29572.0,0.497014308171145,1339,2410,3347,0.08149600973894225,0.37815126050420167,0.09243697478991597,0.03951933654903951,Low concern
BGD.3.1.44.1_1,Turag,Harirampur (Part),,,1.0,False,,0.34195526687883626,3151,5672,7878,0.08150244995904761,0.06722689075630252,0.5042016806722689,0.03824997884403824,Low concern
