w_pop,w_builtup,w_flood,w_hh_size,overlap_top13,exact_top13,overlap_top5,top1_same,max_shift_top13
0.412,0.294,0.118,0.176,12,False,4,True,9
0.389,0.278,0.111,0.222,11,False,4,True,9
0.368,0.263,0.105,0.263,10,False,4,False,10
0.35,0.25,0.1,0.3,10,False,4,False,13
0.412,0.294,0.176,0.118,12,False,4,True,6
0.389,0.278,0.167,0.167,12,False,4,True,6
0.368,0.263,0.158,0.211,12,False,5,True,5
0.35,0.25,0.15,0.25,12,False,5,True,5
0.333,0.238,0.143,0.286,11,False,4,False,11
0.389,0.278,0.222,0.111,13,True,4,True,3
0.368,0.263,0.211,0.158,13,True,4,True,2
0.35,0.25,0.2,0.2,13,True,5,True,0
0.333,0.238,0.19,0.238,12,False,4,True,2
0.318,0.227,0.182,0.273,12,False,4,False,4
0.368,0.263,0.263,0.105,12,False,4,True,8
0.35,0.25,0.25,0.15,12,False,4,True,7
0.333,0.238,0.238,0.19,12,False,4,True,6
0.318,0.227,0.227,0.227,11,False,4,True,4
0.304,0.217,0.217,0.261,12,False,4,True,3
0.35,0.25,0.3,0.1,12,False,4,True,23
0.333,0.238,0.286,0.143,12,False,4,True,23
0.318,0.227,0.273,0.182,12,False,4,True,13
0.304,0.217,0.261,0.217,12,False,4,True,10
0.292,0.208,0.25,0.25,11,False,4,False,11
0.412,0.353,0.118,0.118,12,False,4,True,10
0.389,0.333,0.111,0.167,11,False,4,True,9
0.368,0.316,0.105,0.211,11,False,4,True,11
0.35,0.3,0.1,0.25,10,False,4,True,12
0.333,0.286,0.095,0.286,10,False,4,False,17
0.389,0.333,0.167,0.111,12,False,4,True,6
0.368,0.316,0.158,0.158,12,False,4,True,6
0.35,0.3,0.15,0.2,12,False,5,True,6
0.333,0.286,0.143,0.238,11,False,5,True,7
0.318,0.273,0.136,0.273,11,False,5,False,11
0.368,0.316,0.211,0.105,13,True,4,True,3
0.35,0.3,0.2,0.15,13,True,5,True,1
0.333,0.286,0.19,0.19,13,True,5,True,2
0.318,0.273,0.182,0.227,13,True,4,True,2
0.304,0.261,0.174,0.261,11,False,4,True,11
0.35,0.3,0.25,0.1,12,False,4,True,7
0.333,0.286,0.238,0.143,12,False,4,True,5
0.318,0.273,0.227,0.182,12,False,4,True,5
0.304,0.261,0.217,0.217,12,False,4,True,2
0.292,0.25,0.208,0.25,11,False,4,True,3
0.333,0.286,0.286,0.095,12,False,4,True,22
0.318,0.273,0.273,0.136,12,False,4,True,20
0.304,0.261,0.261,0.174,12,False,4,True,13
0.292,0.25,0.25,0.208,12,False,4,True,10
0.28,0.24,0.24,0.24,11,False,4,True,9
0.389,0.389,0.111,0.111,12,False,4,True,10
0.368,0.368,0.105,0.158,11,False,4,True,13
0.35,0.35,0.1,0.2,11,False,4,True,12
0.333,0.333,0.095,0.238,10,False,3,True,13
0.318,0.318,0.091,0.273,10,False,3,False,16
0.368,0.368,0.158,0.105,12,False,4,True,6
0.35,0.35,0.15,0.15,12,False,4,True,6
0.333,0.333,0.143,0.19,11,False,5,True,7
0.318,0.318,0.136,0.227,11,False,5,True,9
0.304,0.304,0.13,0.261,11,False,5,True,14
0.35,0.35,0.2,0.1,13,True,4,True,2
0.333,0.333,0.19,0.143,13,True,4,True,2
0.318,0.318,0.182,0.182,12,False,5,True,5
0.304,0.304,0.174,0.217,11,False,5,True,6
0.292,0.292,0.167,0.25,11,False,4,True,9
0.333,0.333,0.238,0.095,12,False,4,True,6
0.318,0.318,0.227,0.136,12,False,4,True,6
0.304,0.304,0.217,0.174,12,False,4,True,4
0.292,0.292,0.208,0.208,12,False,4,True,2
