GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood
BGD.3.6.12.1_1,Kishoreganj,Pakundia,Barudia,11.031748050262957,0.02789322789308215,0.6489626556016602
BGD.3.6.12.2_1,Kishoreganj,Pakundia,Chandi Pasha,13.000340102306184,0.029015328652264194,0.0
BGD.3.6.12.3_1,Kishoreganj,Pakundia,Char Faradi,13.283058156314304,0.02563434807342759,0.8613428684942396
BGD.3.6.12.4_1,Kishoreganj,Pakundia,Egarasindur,12.265929425364774,0.020914176858440187,0.8842729970326413
BGD.3.6.12.5_1,Kishoreganj,Pakundia,Hosendi,13.136553192187398,0.03186525660169759,0.7775510204081636
BGD.3.6.12.6_1,Kishoreganj,Pakundia,Jangalia,11.981869764708701,0.03220793706593502,0.7902783222265782
BGD.3.6.12.7_1,Kishoreganj,Pakundia,Narandi,12.39505463629734,0.02535360292166748,0.0
BGD.3.6.12.8_1,Kishoreganj,Pakundia,Pakundia,16.802699467734623,0.03711188317201562,0.13924050632911394
BGD.3.6.12.9_1,Kishoreganj,Pakundia,Pakundia Paurashava,25.79968884019163,0.08468816688353939,0.0
BGD.3.6.12.10_1,Kishoreganj,Pakundia,Patuabhanga,11.621195722035234,0.024228365959233788,0.6839959225280331
BGD.3.6.12.11_1,Kishoreganj,Pakundia,Sukhia,10.82213510121132,0.03210487301914628,0.2808988764044944
BGD.3.6.13.1_1,Kishoreganj,Tarail,Damiha,8.178087998763989,0.010700624256073446,0.9834748130604861
BGD.3.6.13.2_1,Kishoreganj,Tarail,Dhala,8.633575078709985,0.019509072803462885,0.9407915634330719
BGD.3.6.13.3_1,Kishoreganj,Tarail,Digdair,9.324582785184424,0.013697165568342372,0.9022372491187672
BGD.3.6.13.4_1,Kishoreganj,Tarail,Jawar,9.262026086550888,0.020946344049742133,0.9183633516053239
BGD.3.6.13.5_1,Kishoreganj,Tarail,Rauti,8.754003561176509,0.018546391153023693,0.8866282960781694
BGD.3.6.13.6_1,Kishoreganj,Tarail,Talganga,10.473925717404638,0.017578060243280944,0.2041312272174973
BGD.3.6.13.7_1,Kishoreganj,Tarail,Tarail Sachail,11.92465946856328,0.030127783042939407,0.7494501466275664
BGD.3.7.1.1_1,Madaripur,Kalkini,Alinagar,8.074913394712768,0.010871188605529786,0.9314812996956832
BGD.3.7.1.2_1,Madaripur,Kalkini,Baligram,8.623205056633367,0.01613950170512263,0.061660079051383536
BGD.3.7.1.3_1,Madaripur,Kalkini,Banshgari,7.650957833649038,0.012210940848158672,0.9652004827678661
BGD.3.7.1.4_1,Madaripur,Kalkini,Char Daulat Khan,6.883201902580685,0.01123172964189481,0.9403642185311188
BGD.3.7.1.5_1,Madaripur,Kalkini,Dasar,7.446598931891269,0.012344665112276906,0.003424657534246582
BGD.3.7.1.6_1,Madaripur,Kalkini,Enayetnagar,7.044396611184702,0.015111625551128305,0.8907197469021887
BGD.3.7.1.7_1,Madaripur,Kalkini,Gopalpur,10.839416143267309,0.032540014469503956,0.004132231404958685
BGD.3.7.1.8_1,Madaripur,Kalkini,Kalkini Paurashava,10.374413369031553,0.03299521563725209,0.3914656771799636
BGD.3.7.1.9_1,Madaripur,Kalkini,Kayaria,6.291837933653396,0.009487965660770028,0.9323499491353004
BGD.3.7.1.10_1,Madaripur,Kalkini,Kazibakai,9.494452031345348,0.01884208255159475,0.07777777777777795
BGD.3.7.1.11_1,Madaripur,Kalkini,Lakshmipur,7.402651661679649,0.015410199497530246,0.675387596899225
BGD.3.7.1.12_1,Madaripur,Kalkini,Nabagram,6.230058205498212,0.005491859715805455,0.0030843043180260542
BGD.3.7.1.13_1,Madaripur,Kalkini,Ramjanpur,7.516152765324149,0.01870401837379944,0.46428571428571536
BGD.3.7.1.14_1,Madaripur,Kalkini,Sahebrampur,7.008610142706593,0.01670919403759429,0.9272903538536114
BGD.3.7.1.15_1,Madaripur,Kalkini,Shikar Mangal,7.324715895538614,0.01801705176509752,0.7025019546520728
BGD.3.7.2.1_1,Madaripur,Madaripur Sadar,Bahadurpur,6.902984188578467,0.02219481493762174,0.509838998211092
BGD.3.7.2.2_1,Madaripur,Madaripur Sadar,Chilar Char,8.169322285317216,0.011010936879714174,0.8432961837217159
BGD.3.7.2.3_1,Madaripur,Madaripur Sadar,Dhurail,8.206385711501348,0.0164033151559064,0.9220700765203368
BGD.3.7.2.4_1,Madaripur,Madaripur Sadar,Dudkhali,7.636114458011138,0.02225646806145899,0.5785302593659948
BGD.3.7.2.5_1,Madaripur,Madaripur Sadar,Ghatmajhi,11.186032606106178,0.023409163203648616,0.08571428571428594
BGD.3.7.2.6_1,Madaripur,Madaripur Sadar,Jhaudi,9.323201274577974,0.015969062457130537,0.5815937556725371
BGD.3.7.2.7_1,Madaripur,Madaripur Sadar,Kalikapur,7.745384308030734,0.012887738136113453,0.8460882281257613
BGD.3.7.2.8_1,Madaripur,Madaripur Sadar,Kendua,7.524043804746925,0.01659806758885722,0.15117466802860108
BGD.3.7.2.9_1,Madaripur,Madaripur Sadar,Khoajpur,10.024350530242366,0.009649525132801842,0.8872780583156867
